Fecha,Real,Predicción
2025-07-27,6921.42665,9646.849413956636
2025-07-28,5803.38666,9305.62771251571
2025-07-30,8623.91665,8710.684272583338
2025-07-31,11217.69998,8644.800056624397
2025-08-01,5814.5,9376.546585575734
2025-08-02,8390.16494,9430.669958903494
2025-08-04,6614.40333,7847.374574481722
2025-08-05,7115.79332,8140.9113130334945
2025-08-06,8908.11333,8373.57288063639
2025-08-07,8961.18,8570.920786112518
2025-08-08,6526.78998,9328.061346863466
2025-08-09,7719.4533,10078.024759774145
2025-08-11,7837.2,8154.465606383253
2025-08-12,8502.15664,8274.040981996262
2025-08-13,10226.96332,8374.240905641724
2025-08-14,6363.40999,9065.092466523003
2025-08-15,6357.10331,9228.11521389072
2025-08-16,7786.34332,9620.266911753237
2025-08-18,8879.81665,7774.570474041382
2025-08-19,7399.41331,8073.378506442921
2025-08-20,10667.90666,8424.195903438555
2025-08-21,6978.59333,9003.045408677728
2025-08-22,7357.28666,9209.769677250239
2025-08-23,8098.25332,10651.007936416227
2025-08-24,6720.74662,9029.692969672891
2025-08-25,5632.37,8025.495981639966
2025-08-26,7536.75998,8257.460368310414
2025-08-27,5358.73666,8146.63343644321
2025-08-28,6821.31665,9358.494368540536
2025-08-29,7736.19332,9205.660307384083
2025-08-30,9891.2933,9335.356477137908
2025-08-31,6164.09999,9739.671833796756
2025-09-02,4687.15333,9383.710681614419
2025-09-03,5351.97332,8248.220130441116
2025-09-04,5510.0333200000005,8784.140744762046
2025-09-05,5543.0,9297.808890568984
2025-09-06,6401.08,9139.515743039436
2025-09-08,6527.56332,8862.81213851577
2025-09-09,5439.21998,8863.670067198009
2025-09-10,8670.56666,8088.0598353537025
2025-09-11,10468.69332,9154.973837445863
2025-09-12,5838.84999,9233.927334028676
2025-09-13,6850.18332,9447.802071529646
2025-09-15,7429.35665,8612.794650631455
2025-09-16,8932.75998,7673.633383458962
2025-09-17,6969.84331,7757.394041498928
2025-09-18,9015.09999,8999.013102395656
2025-09-19,6524.84331,9482.73847255949
2025-09-20,8695.02665,9876.572079583138
2025-09-22,8328.71999,8678.402138453945
2025-09-23,6671.57666,7608.081305212134
2025-09-24,9320.07163,8646.153637138847
2025-09-25,6787.65666,9461.321134798844
2025-09-26,7568.76999,9397.91891753663
2025-09-27,8591.33,10265.325687906881
2025-09-28,8038.78663,10119.1454009903
2025-09-29,6468.31665,7622.255779259969
2025-09-30,9125.0,8308.182372782034
2025-10-01,3170.31333,8217.096300103398
2025-10-02,10370.61666,8440.98864442057
2025-10-03,7082.61996,9581.292074739142
2025-10-04,7733.96995,9458.975435706936
2025-10-06,15384.71999,8538.75569959822
2025-10-07,6743.5333,9106.715011691074
2025-10-08,7591.34997,9321.603233974613
2025-10-09,7586.29333,9355.426556980276
2025-10-10,5834.56663,9467.50482891143
2025-10-11,10754.94999,9725.306369470418
2025-10-13,7632.35331,8504.774531949519
2025-10-14,7372.3133,8369.385849501801
2025-10-15,7782.16662,8388.617948440102
2025-10-16,9235.8733,8833.731445519361
2025-10-17,7177.27665,9446.515992983264
2025-10-18,10700.8066,9873.493684760464
2025-10-20,10077.88331,8430.522510753377
2025-10-21,7246.1133,7945.171775132825
2025-10-22,7515.51663,8026.475072631424
2025-10-23,6895.54665,8614.84606662629
2025-10-24,6319.56666,9454.451805994182
2025-10-25,7677.39332,9633.57527224868
2025-10-27,8123.69664,8908.976291253864
2025-10-28,7031.27664,7773.3402837386875
2025-10-29,9581.93664,8639.176633145982
